config,repetition,fitness,penalty,feasible,final_islands
Hybrid-IslandSize30,1,351.5818,0.0,True,1
Hybrid-IslandSize30,2,350.895,0.0,True,1
Hybrid-IslandSize30,3,350.7985,0.0,True,1
Hybrid-IslandSize50,1,351.0801,0.0,True,2
Hybrid-IslandSize50,2,350.9556,0.0,True,2
Hybrid-IslandSize50,3,350.9108,0.0,True,2
Hybrid-IslandSize70,1,350.9575,0.0,True,4
Hybrid-IslandSize70,2,351.0117,0.0,True,4
Hybrid-IslandSize70,3,350.8759,0.0,True,4
Hybrid-IslandSize100,1,350.9611,0.0,True,4
Hybrid-IslandSize100,2,350.8123,0.0,True,5
Hybrid-IslandSize100,3,350.9418,0.0,True,5
Hybrid-Epoch5,1,350.9344,0.0,True,2
Hybrid-Epoch5,2,350.9494,0.0,True,2
Hybrid-Epoch5,3,351.0494,0.0,True,2
Hybrid-Epoch10,1,350.8616,0.0,True,2
Hybrid-Epoch10,2,350.8176,0.0,True,2
Hybrid-Epoch10,3,350.9411,0.0,True,2
Hybrid-Epoch20,1,350.8963,0.0,True,2
Hybrid-Epoch20,2,350.8628,0.0,True,2
Hybrid-Epoch20,3,350.8198,0.0,True,2
Hybrid-Epoch30,1,351.4872,0.0,True,2
Hybrid-Epoch30,2,351.0468,0.0,True,2
Hybrid-Epoch30,3,351.0277,0.0,True,2
Hybrid-Gen50,1,352.1152,0.0,True,2
Hybrid-Gen50,2,352.4049,0.0,True,2
Hybrid-Gen50,3,351.9946,0.0,True,2
Hybrid-Gen100,1,350.9271,0.0,True,2
Hybrid-Gen100,2,350.896,0.0,True,2
Hybrid-Gen100,3,350.9707,0.0,True,2
Hybrid-Gen150,1,350.8179,0.0,True,2
Hybrid-Gen150,2,350.7646,0.0,True,2
Hybrid-Gen150,3,350.7485,0.0,True,2
Hybrid-Gen200,1,350.7499,0.0,True,2
Hybrid-Gen200,2,350.719,0.0,True,2
Hybrid-Gen200,3,350.5966,0.0,True,2
Hybrid-InitDemandProp,1,351.0341,0.0,True,2
Hybrid-InitDemandProp,2,350.9776,0.0,True,2
Hybrid-InitDemandProp,3,350.7919,0.0,True,2
Hybrid-InitUrgencyBias,1,350.9787,0.0,True,2
Hybrid-InitUrgencyBias,2,351.0042,0.0,True,2
Hybrid-InitUrgencyBias,3,350.964,0.0,True,2
Hybrid-InitRandom,1,350.7221,0.0,True,2
Hybrid-InitRandom,2,351.117,0.0,True,2
Hybrid-InitRandom,3,350.9083,0.0,True,2
Hybrid-LargeIsland-LongEpoch,1,350.6537,0.0,True,4
Hybrid-LargeIsland-LongEpoch,2,350.6521,0.0,True,4
Hybrid-LargeIsland-LongEpoch,3,350.6785,0.0,True,4
Hybrid-SmallIsland-FastRecluster,1,351.2926,0.0,True,1
Hybrid-SmallIsland-FastRecluster,2,350.8505,0.0,True,1
Hybrid-SmallIsland-FastRecluster,3,350.7587,0.0,True,1
Hybrid-DeepSearch,1,350.5891,0.0,True,4
Hybrid-DeepSearch,2,350.7817,0.0,True,3
Hybrid-DeepSearch,3,350.5956,0.0,True,4
Hybrid-RapidAdapt,1,351.1576,0.0,True,2
Hybrid-RapidAdapt,2,351.074,0.0,True,2
Hybrid-RapidAdapt,3,350.9916,0.0,True,2
Hybrid-Scenario-Default,1,350.7863,0.0,True,2
Hybrid-Scenario-Default,2,350.8468,0.0,True,2
Hybrid-Scenario-Default,3,351.0232,0.0,True,2
Hybrid-Scenario-Epidemic,1,371.7337,0.0,True,2
Hybrid-Scenario-Epidemic,2,371.9513,0.0,True,2
Hybrid-Scenario-Epidemic,3,371.8978,0.0,True,2
Hybrid-Scenario-Floods,1,396.8984,0.0,True,2
Hybrid-Scenario-Floods,2,396.7136,0.0,True,2
Hybrid-Scenario-Floods,3,396.8669,0.0,True,2
Hybrid-Scenario-LargeDisaster,1,493.3007,0.079227,False,2
Hybrid-Scenario-LargeDisaster,2,493.6226,0.0,True,2
Hybrid-Scenario-LargeDisaster,3,493.0324,0.022306,False,2
Hybrid-Scenario-ResourceShortage,1,472.099,0.0,True,2
Hybrid-Scenario-ResourceShortage,2,470.6636,0.0,True,2
Hybrid-Scenario-ResourceShortage,3,469.2127,0.00127,False,2
Hybrid-Scenario-WorstCase,1,748.3658,0.0,True,2
Hybrid-Scenario-WorstCase,2,747.6045,0.001348,False,2
Hybrid-Scenario-WorstCase,3,747.1607,0.036566,False,2
Hybrid-WorstCase-UrgencyInit,1,747.9807,0.003425,False,2
Hybrid-WorstCase-UrgencyInit,2,746.8601,0.000903,False,2
Hybrid-WorstCase-UrgencyInit,3,746.2767,0.0,True,2
Hybrid-WorstCase-LargeSwarm,1,747.6283,0.0,True,3
Hybrid-WorstCase-LargeSwarm,2,747.4444,0.0,True,4
Hybrid-WorstCase-LargeSwarm,3,745.7452,0.0,True,3
